C1	1	13.05765974893583	I	10.843056438287288	I	0
I33	1	10.843056438287288	C	9.004053956411697	I	12.4892985276
I41	1	9.004053956411697	I	13.05765974893583	C	9.82485051962
C2	2	11.536026936331455	C	11.536026936331455	C	0
C3	3	11.679847438237678	C	11.679847438237678	C	0
C4	4	12.12215676260807	I	6.132392181599069	I	0
I3	4	6.132392181599069	C	13.220450559773676	I	12.08097016
I62	4	13.220450559773676	I	12.12215676260807	C	11.982536838
C5	5	12.426296536093144	I	12.896873472510286	I	0
I77	5	12.896873472510286	C	12.426296536093144	C	11.1334564302
C6	6	10.843056438287288	C	10.843056438287288	C	0
C7	7	9.116308163717983	I	8.358967506983737	I	0
I4	7	8.358967506983737	C	6.056880602692996	I	5.85396610082
I64	7	6.056880602692996	I	9.116308163717983	C	8.72969509307
C8	8	12.12215676260807	I	10.843056438287288	I	0
I26	8	10.843056438287288	C	12.12215676260807	C	11.0149532951
C9	9	10.70953981254382	C	10.70953981254382	C	0
C10	10	13.05765974893583	I	10.318773597292786	I	0
I93	10	10.318773597292786	C	11.679847438237678	I	12.3484800247
I32	10	11.679847438237678	I	13.05765974893583	C	11.0088110821
C11	11	9.3450324703105	I	11.253676953040564	I	0
I70	11	11.253676953040564	C	8.78367526813589	I	8.93654899611
I9	11	8.78367526813589	I	9.3450324703105	C	11.26821938
C12	12	12.273284588453684	C	12.273284588453684	C	0
C13	13	14.41825216635924	I	5.835879107692293	I	0
I66	13	5.835879107692293	C	10.447418511699624	I	8.36064301031
I73	13	10.447418511699624	I	14.41825216635924	C	13.0991375113
C14	14	11.536026936331455	I	12.581216095012342	I	0
I98	14	12.581216095012342	C	13.220450559773676	I	9.64595065781
I27	14	13.220450559773676	I	11.536026936331455	C	13.966997078
C15	15	13.05765974893583	C	13.05765974893583	C	0
C16	16	12.581216095012342	I	12.12215676260807	I	0
I83	16	12.12215676260807	C	10.843056438287288	I	9.38183770895
I20	16	10.843056438287288	I	12.581216095012342	C	13.9674691859
C17	17	11.536026936331455	C	11.536026936331455	C	0
C18	18	11.679847438237678	I	7.8568433434030664	I	0
I68	18	7.8568433434030664	C	6.9412711149423965	I	4.43716932233
I25	18	6.9412711149423965	I	11.679847438237678	C	11.5143809449
C19	19	12.273284588453684	C	12.273284588453684	C	0
C20	20	9.116308163717983	I	9.004053956411697	I	0
I91	20	9.004053956411697	C	7.3848818375239516	I	8.50241415538
I48	20	7.3848818375239516	I	9.116308163717983	C	6.88612269064
C21	21	8.78367526813589	I	9.116308163717983	I	0
I56	21	9.116308163717983	C	12.273284588453684	I	11.7422417765
I97	21	12.273284588453684	I	8.78367526813589	C	5.8497722278
C22	22	8.053968211655981	C	8.053968211655981	C	0
C23	23	7.3848818375239516	I	7.954795191061123	I	0
I46	23	7.954795191061123	C	7.3848818375239516	C	6.88135410797
C24	24	9.3450324703105	I	11.679847438237678	I	0
I42	24	11.679847438237678	C	9.3450324703105	C	9.83041155253
C25	25	14.065358290441333	I	8.675516955938345	I	0
I67	25	8.675516955938345	C	12.12215676260807	I	8.8842345391
I45	25	12.12215676260807	I	14.065358290441333	C	12.9117996262
C26	26	11.536026936331455	I	12.581216095012342	I	0
I10	26	12.581216095012342	C	11.536026936331455	C	10.4677312288
C27	27	10.191712759754719	C	10.191712759754719	C	0
C28	28	19.172269066005107	I	12.426296536093144	I	0
I87	28	12.426296536093144	C	19.172269066005107	C	13.8893499392
C29	29	11.972889858309594	I	10.191712759754719	I	0
I24	29	10.191712759754719	C	14.065358290441333	I	10.3233176131
I55	29	14.065358290441333	I	11.972889858309594	C	12.5809871465
C30	30	8.893181998019298	I	9.579495372778311	I	0
I6	30	9.579495372778311	C	9.004053956411697	I	8.1103235067
I85	30	9.004053956411697	I	8.893181998019298	C	9.08718867114
C31	31	6.605647173393503	C	6.605647173393503	C	0
C32	32	11.679847438237678	I	6.688000265765443	I	0
I79	32	6.688000265765443	C	9.004053956411697	I	7.54095535079
I23	32	9.004053956411697	I	11.679847438237678	C	11.6105810645
C33	33	12.896873472510286	C	12.896873472510286	C	0
C34	34	11.253676953040564	I	10.318773597292786	I	0
I80	34	10.318773597292786	C	11.253676953040564	C	10.2188185494
C35	35	11.679847438237678	I	10.70953981254382	I	0
I57	35	10.70953981254382	C	11.679847438237678	C	13.331418847
C36	36	11.679847438237678	I	8.568690457604625	I	0
I52	36	8.568690457604625	C	6.208845168950004	I	4.04417829043
I11	36	6.208845168950004	I	11.679847438237678	C	12.1767504518
C37	37	11.679847438237678	I	14.240712153602946	I	0
I90	37	14.240712153602946	C	9.461537681994532	I	8.31536089755
I86	37	9.461537681994532	I	11.679847438237678	C	14.6163397961
C38	38	9.461537681994532	I	9.698923650826302	I	0
I61	38	9.698923650826302	C	9.461537681994532	C	8.28363347425
C39	39	13.05765974893583	I	7.476949706145677	I	0
I89	39	7.476949706145677	C	13.05765974893583	C	10.2406358567
C40	40	8.893181998019298	C	8.893181998019298	C	0
C41	41	8.256038859274138	C	8.256038859274138	C	0
C42	42	10.318773597292786	C	10.318773597292786	C	0
C43	43	11.679847438237678	I	15.920616674796197	I	0
I51	43	15.920616674796197	C	7.3848818375239516	I	6.66388075249
I16	43	7.3848818375239516	I	11.679847438237678	C	14.3906453711
C44	44	9.461537681994532	C	9.461537681994532	C	0
C45	45	11.115104126962537	C	11.115104126962537	C	0
C46	46	9.698923650826302	C	9.698923650826302	C	0
C47	47	12.12215676260807	I	8.78367526813589	I	0
I50	47	8.78367526813589	C	12.12215676260807	C	12.8439971485
