"V1"	"V2"	"Cat"
"154"	113	1150.96076869211	"incompat only"
"155"	110	1096.53535904256	"incompat only"
"156"	98	999.791664545102	"incompat only"
"157"	108	1100.04784438216	"incompat only"
"158"	113	1161.56729785131	"incompat only"
"159"	118	1175.34181949841	"incompat only"
"160"	102	1023.66060233268	"incompat only"
"161"	115	1150.84008205821	"incompat only"
"162"	114	1161.6690160987	"incompat only"
"163"	98	1004.34654395138	"incompat only"
"164"	98	969.199869786234	"incompat only"
"165"	94	949.932026639482	"incompat only"
"166"	93	943.144776962005	"incompat only"
"167"	102	1023.86629719984	"incompat only"
"168"	109	1113.45607940874	"incompat only"
"169"	114	1113.10853376022	"incompat only"
"170"	99	1001.34447097753	"incompat only"
"171"	102	1043.76924301307	"incompat only"
"172"	97	958.994095807574	"incompat only"
"173"	114	1180.05001911842	"incompat only"
"174"	110	1087.03259832678	"incompat only"
"175"	115	1101.56850625665	"incompat only"
"176"	104	1021.81071373023	"incompat only"
"177"	118	1206.55224833655	"incompat only"
"178"	120	1211.63679651706	"incompat only"
"179"	91	923.393511547482	"incompat only"
"180"	106	1064.11558817402	"incompat only"
"181"	111	1106.23756319697	"incompat only"
"182"	115	1150.32698771619	"incompat only"
"183"	99	970.6557458446	"incompat only"
"184"	98	994.676012531159	"incompat only"
"185"	100	1044.06114890896	"incompat only"
"186"	109	1097.61286520037	"incompat only"
"187"	113	1098.86494048964	"incompat only"
"188"	102	1015.60607355519	"incompat only"
"189"	109	1066.92305868864	"incompat only"
"190"	93	906.107524402526	"incompat only"
"191"	102	986.28243565512	"incompat only"
"192"	91	915.261810184122	"incompat only"
"193"	100	1010.50104988411	"incompat only"
"194"	101	1026.21389923522	"incompat only"
"195"	108	1066.48491461386	"incompat only"
"196"	114	1117.85015598934	"incompat only"
"197"	99	1030.26267089057	"incompat only"
"198"	108	1111.01977954079	"incompat only"
"199"	93	948.239922589596	"incompat only"
"200"	105	1021.93722281954	"incompat only"
"201"	105	1055.27704937901	"incompat only"
"202"	105	1096.17233033349	"incompat only"
"203"	95	918.170003732906	"incompat only"
"204"	96	961.475723511757	"incompat only"
"205"	112	1113.55468816238	"incompat only"
"206"	97	959.314965141124	"incompat only"
"207"	106	1069.06411044688	"incompat only"
"208"	98	968.165346129454	"incompat only"
"209"	104	1062.97472596332	"incompat only"
"210"	100	959.494413129052	"incompat only"
"211"	107	1051.40244906289	"incompat only"
"212"	106	1087.7481798747	"incompat only"
"213"	109	1111.40876778484	"incompat only"
"214"	117	1178.24981409359	"incompat only"
"215"	95	945.865638215895	"incompat only"
"216"	100	961.447456548987	"incompat only"
"217"	96	936.553119449361	"incompat only"
"218"	111	1133.39260805865	"incompat only"
"219"	104	1047.96589440735	"incompat only"
"220"	107	1033.89113198618	"incompat only"
"221"	96	975.377471765113	"incompat only"
"222"	117	1198.7465799446	"incompat only"
"223"	108	1060.10629126151	"incompat only"
"224"	98	981.325512314292	"incompat only"
"225"	89	902.638390085501	"incompat only"
"226"	107	1073.17286398524	"incompat only"
"227"	100	970.838648762936	"incompat only"
"228"	95	964.076582300588	"incompat only"
"229"	107	1080.47359908753	"incompat only"
"230"	107	1085.81272326713	"incompat only"
"231"	101	1013.62146137285	"incompat only"
"232"	99	988.482847597775	"incompat only"
"233"	98	935.640040850526	"incompat only"
"234"	125	1190.31265263451	"incompat only"
"235"	111	1116.36397445347	"incompat only"
"236"	96	952.516313932554	"incompat only"
"237"	92	955.368458350906	"incompat only"
"238"	106	1049.65846392767	"incompat only"
"239"	100	978.584396088987	"incompat only"
"240"	94	930.77027610393	"incompat only"
"241"	103	1056.26878912401	"incompat only"
"242"	111	1126.92029255954	"incompat only"
"243"	110	1111.16045493598	"incompat only"
"244"	102	997.295417611763	"incompat only"
"245"	107	1070.2246356524	"incompat only"
"246"	100	1008.89676166824	"incompat only"
"247"	111	1087.53129552078	"incompat only"
